2021-06-11 17:20:58 - MainThread - root - INFO - Prueba de logging básica
2021-06-11 17:30:10 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-11 17:30:29 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-11 17:34:54 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:19:52 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:20:52 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:21:04 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:21:17 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:21:38 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:45:08 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 03:49:12 - MainThread - root - ERROR - Archivo de tecto vacio
2021-06-12 07:12:41 - MainThread - root - ERROR - El contacto no existe
2021-06-12 07:21:42 - MainThread - root - ERROR - El contacto no existe
